id|identifier|fullName|otherNames|legalForm|predecessor|successor|address|buildingNumber|street|municipality|postalCodes|country|establishmentDate|terminationDate
9371448|00323748|Obec Veľopolie||Obec (obecný úrad), mesto (mestský úrad)|||Veľopolie, Veľopolie 78|78|Veľopolie|Veľopolie|['06731']|Slovenská republika|1973-07-01|
676108|44970072|STAON OKNA s.r.o.||Spoločnosť s ručením obmedzeným||||1096/1A|Opálová|Vranov nad Topľou|['09303']|Slovenská republika|2009-10-14|
4784457|50005448|KONTAJNERY POPRAD, s. r. o.||Spoločnosť s ručením obmedzeným||||5112/26A|Levočská|Poprad|['058 01']|Slovenská republika|2015-10-29|
675452|36384992|PROCAR, a.s.||Akciová spoločnosť||||800|Demänovská ul.|Liptovský Mikuláš|['03101']|Slovenská republika|1999-03-24|
674740|44668911|VT-KANAL sk s.r.o.||Spoločnosť s ručením obmedzeným||||1043/67|Bernolákova|Vranov nad Topľou|['09301']|Slovenská republika|2009-03-14|
9985198|||||||||||||1992-11-26|2023-08-10
9372071|00326607|Mesto Svit||Obec (obecný úrad), mesto (mestský úrad)|||Svit, Hviezdoslavova 268/32|32|Hviezdoslavova|Svit|['05921']|Slovenská republika|1973-07-01|
706042|36400491|T+T, a.s.||Akciová spoločnosť||||18|Andreja Kmeťa|Žilina|['01001']|Slovenská republika|2001-08-27|
376934|46938079|Profesionálny register s.r.o.||Spoločnosť s ručením obmedzeným||||9|Michalská|Bratislava|['81101']|Slovenská republika|2013-01-29|
1056865|47079690|GGFS s.r.o.||Spoločnosť s ručením obmedzeným||||5|Sasinkova|Bratislava|['811 08']|Slovenská republika|2013-03-20|
3809201|46296573|Marek Krištof||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||||Dukovce|['08644']|Slovenská republika|2011-08-01|
1004201|36747262|OZE Solutions a.s.||Akciová spoločnosť||||1|Tulipánová|Senec|['903 01']|Slovenská republika|2007-03-02|
15121649|53539133|Dobraobec s.r.o.||Spoločnosť s ručením obmedzeným||||1085/40|Švermova|Sobrance|['07301']|Slovenská republika|2021-01-19|
9169577|50839381|SOĽANSKE NEVESTY||Združenie (zväz, spolok, spoločnosť, klub ai.)||||||Soľ|['09435']|Slovenská republika|2017-05-05|
4591292|42379997|Bežecký klub BK ZASRUN Šarišské Bohdanovce||Združenie (zväz, spolok, spoločnosť, klub ai.)||||||Šarišské Bohdanovce|['08205']|Slovenská republika|2014-03-20|
707458|46642285|MCOM-NET s. r. o.||Spoločnosť s ručením obmedzeným||||23/217|Dujavská|Raslavice|['08641']|Slovenská republika|2012-04-24|
801506|44670028|ShowMedia s.r.o.||Spoločnosť s ručením obmedzeným||||2|Jarmočná|Košice - mestská časť Juh|['04001']|Slovenská republika|2009-04-07|
9895398|00164836|Hudobné centrum||Príspevková organizácia|||Bratislava - mestská časť Staré Mesto, Michalská 384/10|10|Michalská|Bratislava - mestská časť Staré Mesto|['81536']|Slovenská republika|1970-08-15|
1005311|31325416|ČSOB Poisťovňa, a.s.||Akciová spoločnosť||||11|Žižkova|Bratislava|['81102']|Slovenská republika|1992-06-09|
198622|31338551|Konica Minolta Slovakia spol. s r. o.||Spoločnosť s ručením obmedzeným||||17/B|Galvaniho|Bratislava|['82104']|Slovenská republika|1992-12-11|
4700269|45743312|MIMA, n.o.||Nezisková organizácia poskytujúca všeobecne prospešné služby|||||Merník|Merník|['09423']|Slovenská republika|2014-06-11|
9371529|37870475|Prešovský samosprávny kraj||Samosprávny kraj (úrad samosprávneho kraja)|||Prešov, Námestie mieru 5043/2|2|Námestie mieru|Prešov|['08001']|Slovenská republika|2001-12-15|
3412307|30652952|Ing. Richard Soporský - projektová činnosť||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||15|Vihorlatská|Prešov|['08001']|Slovenská republika|1992-08-12|
7026653|50334981|nezisková organizácia Projekt DOM.ov||Nezisková organizácia poskytujúca všeobecne prospešné služby||||10|Lesná|Zborov|['08633']|Slovenská republika|2016-05-09|
1075670|46447156|BAUSKA, s. r. o.||Spoločnosť s ručením obmedzeným||||147/20|Družstevná|Rozhanovce|['044 42']|Slovenská republika|2011-12-10|
270306|48231657|Premier Consulting EU, s.r.o.||Spoločnosť s ručením obmedzeným||||870|Hadovská cesta|Komárno|['94501']|Slovenská republika|2015-07-14|
9370985|00332623|Obec Nová Kelča||Obec (obecný úrad), mesto (mestský úrad)|||Nová Kelča, Nová Kelča 72|72|Nová Kelča|Nová Kelča|['09404']|Slovenská republika|1973-07-01|
9720060|51983354|REDMONT s. r. o.||Spoločnosť s ručením obmedzeným||||34/6|Boženy Němcovej|Košice - mestská časť Sever|['04001']|Slovenská republika|2018-10-25|
811587|31691021|Ekover, s.r.o.||Spoločnosť s ručením obmedzeným||||34|SNP|Spišské Vlachy|['05361']|Slovenská republika|1994-06-02|
14597959|52877744|i4Corporation s. r. o.||Spoločnosť s ručením obmedzeným||||10A|Karpatské námestie|Bratislava - mestská časť Rača|['83106']|Slovenská republika|2020-05-29|
10904311|52846059|Fond na podporu športu||Verejnoprávna inštitúcia|||Bratislava - mestská časť Nové Mesto, Príkopova 3255/6, 83103, Slovenská republika|6|Príkopova|Bratislava - mestská časť Nové Mesto|['83103']|Slovenská republika|2019-10-15|
670696|44685173|PcProfi, s. r. o.||Spoločnosť s ručením obmedzeným||||14050/119|Fintická|Prešov|['08006']|Slovenská republika|2009-03-21|
299575|45510393|BINS s.r.o.||Spoločnosť s ručením obmedzeným|||||Vašinova 61|Nitra|['94901']|Slovenská republika|2010-04-29|
735250|36184454|KAPA-PRESS, spoločnosť s ručením obmedzeným||Spoločnosť s ručením obmedzeným||||1678|Ulica Andreja Kvasa|Košice - mestská časť Barca|['04017']|Slovenská republika|1998-05-20|
3755182|37212931|Henrich Sonnenschein - ITSK||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||22|Fraňa Mojtu|Nitra|['94901']|Slovenská republika|2000-01-21|
756322|44562241|GAMA SM s.r.o.||Spoločnosť s ručením obmedzeným||||767/140|Dlhá|Vranov nad Topľou|['093 01']|Slovenská republika|2008-12-31|
545903|31613080|Lionbridge (Slovakia) s.r.o.||Spoločnosť s ručením obmedzeným||||9021/6|Hollého|Žilina|['010 01']|Slovenská republika|1994-09-14|
579366|36734390|BROS Computing, s.r.o.||Spoločnosť s ručením obmedzeným||||169/10|Kolmá|Žilina|['01003']|Slovenská republika|2007-02-03|
535046|48255866|K project s.r.o.||Spoločnosť s ručením obmedzeným||||528/1|Lúky|Kamenná Poruba|['01314']|Slovenská republika|2015-07-30|
3543081|45670145|Bc. Peter Gula||Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri||||169|Pezinská|Vinosady|['90201']|Slovenská republika|2010-08-01|
9042375|50569589|LORD - Lomnický Rodičia Deťom||Združenie (zväz, spolok, spoločnosť, klub ai.)||||747|Porubská|Vranov nad Topľou||Slovenská republika|2016-11-14|
896906|31376134|EBA, s.r.o.||Spoločnosť s ručením obmedzeným||||1|Rusovská cesta|Bratislava|['851 01']|Slovenská republika|1994-07-27|
15137519|37873369|Základná škola, Juh 1054, Vranov nad Topľou||Rozpočtová organizácia||||1054|Juh|Vranov nad Topľou||Slovenská republika|1975-10-01|
971584|44903481|Medpartner s.r.o.||Spoločnosť s ručením obmedzeným||||3|Hollého|Prešov|['08001']|Slovenská republika|2009-08-04|
9711919|31998844|Rímskokatolícka farnosť Panny Márie de Mercede, Holčíkovce||Cirkevná organizácia|||Holčíkovce, 15, 09405, Slovenská republika|||Holčíkovce|['09405']|Slovenská republika|1994-01-01|
