Obec,ico,pracujúci (okrem dôchodcov),pracujúci dôchodca,osoba na materskej dovolenke,osoba na rodičovskej dovolenke,nezamestnaný,žiak strednej školy,študent vysokej školy,osoba v domácnosti,dôchodca,príjemca kapitálových príjmov,žiak základnej školy,dieťa do začatia povinnej školskej dochádzky,iná,nezistené
Babie,332241,98,13,1,0,8,11,9,10,52,0,16,10,0,2
Banské,332259,436,39,5,6,256,52,22,250,271,1,272,267,2,27
Benkovce,332267,200,26,2,5,37,24,13,33,111,3,53,49,0,1
Bystré,332275,1052,83,9,21,167,112,55,239,504,0,287,188,2,26
Cabov,332283,148,13,2,4,36,22,3,15,84,1,27,26,0,2
Čaklov,332291,733,54,7,17,387,111,41,256,397,0,381,275,7,21
Čičava,332305,253,24,2,10,225,25,14,165,135,1,209,188,3,34
Čierne nad Topľou,332313,296,33,3,2,38,17,23,35,168,1,52,48,0,3
Davidov,332330,321,34,2,6,36,29,12,54,158,0,59,61,1,8
Detrík,332348,15,2,0,1,5,3,0,5,13,0,7,2,1,0
Dlhé Klčovo,332356,543,64,2,11,86,51,26,90,261,0,138,86,0,14
Ďapalovce,332321,173,16,1,1,19,22,18,21,92,0,43,23,0,4
Ďurďoš,332364,76,9,1,4,28,5,0,26,45,1,35,19,1,6
Giglovce,332372,60,3,3,1,10,2,4,5,44,0,2,12,0,0
Girovce,332381,26,1,0,1,2,2,2,2,14,0,3,2,0,0
Hencovce,35532319,494,66,4,8,83,49,39,90,213,0,129,107,0,29
Hermanovce nad Topľou,332402,277,22,2,3,24,39,17,28,159,3,66,40,0,8
Hlinné,332411,565,58,1,7,208,86,25,175,242,1,293,200,1,25
Holčíkovce,332429,191,23,0,4,18,15,15,17,81,0,29,21,0,5
Jasenovce,332437,84,13,0,0,18,7,1,17,47,0,16,6,0,4
Jastrabie nad Topľou,332445,145,20,1,2,57,11,6,43,80,0,58,54,0,10
Juskova Voľa,332453,120,14,0,1,15,20,6,7,71,0,25,13,0,4
Kladzany,332470,189,29,2,4,39,9,9,21,152,0,43,31,2,6
Komárany,332488,186,20,3,5,20,12,10,33,115,0,52,44,4,1
Kvakovce,332518,177,11,0,3,19,13,9,14,111,1,23,18,1,12
Majerovce,332526,189,15,2,6,17,23,10,20,97,0,40,27,0,3
Malá Domaša,332534,205,22,0,5,56,12,7,67,89,0,96,76,1,3
Matiaška,332542,108,11,0,2,18,11,8,16,57,0,32,26,0,1
Medzianky,332551,127,17,3,1,15,6,5,8,70,0,21,21,0,5
Merník,332569,257,26,3,3,33,20,15,30,121,1,49,52,0,4
Michalok,332577,112,13,0,0,26,8,9,10,71,0,12,9,0,6
Nižný Hrabovec,332593,487,79,3,8,125,49,39,135,337,1,175,104,3,80
Nižný Hrušov,332607,579,64,6,6,86,56,41,59,374,2,130,66,1,38
Nižný Kručov,332615,166,10,0,3,19,22,12,14,82,0,32,22,0,5
Nová Kelča,332623,136,25,1,4,8,18,7,10,70,0,29,18,0,4
Ondavské Matiašovce,332631,221,30,2,3,113,22,9,86,142,0,100,64,0,13
Petkovce,332666,56,2,2,1,8,5,2,3,34,0,13,9,0,0
Piskorovce,332682,45,2,1,1,7,6,5,3,33,0,6,6,1,1
Poša,332691,203,32,0,8,93,24,14,115,175,0,165,101,0,11
Prosačov,332712,41,1,0,2,28,15,1,25,31,0,50,13,0,4
Radvanovce,332721,100,8,2,1,8,13,3,8,37,0,19,14,0,5
Rafajovce,332739,57,4,0,1,9,7,3,17,34,0,24,8,0,1
Remeniny,332747,117,8,0,2,20,8,9,11,60,0,24,12,0,2
Rudlov,332763,215,20,2,4,58,18,11,68,125,0,85,76,0,5
Ruská Voľa,332798,13,5,0,1,12,4,0,10,14,0,17,9,0,1
Sačurov,332810,618,79,5,14,193,94,31,304,324,0,347,401,11,57
Sečovská Polianka,332828,1015,89,5,14,153,103,60,174,582,1,300,181,0,24
Sedliská,332836,448,68,3,9,112,41,30,144,278,0,162,164,3,15
Skrabské,332844,215,26,2,4,82,35,13,96,130,0,112,59,0,1
Slovenská Kajňa,332852,270,45,2,5,34,30,10,47,177,0,53,37,1,16
Soľ,332861,734,76,4,12,325,98,30,300,381,1,373,265,2,28
Tovarné,332887,360,40,6,5,47,41,18,48,284,0,66,70,0,7
Tovarnianska Polianka,332895,45,6,0,0,4,7,0,6,25,0,9,8,0,0
Vavrinec,332909,20,3,1,0,4,1,0,4,10,0,3,4,0,5
Vechec,332925,742,60,1,14,369,85,27,327,349,1,456,373,5,28
Vlača,332917,82,5,1,0,14,13,11,11,59,0,16,11,0,3
Vyšný Kazimír,332801,78,12,0,1,11,5,7,11,38,0,14,10,0,1
Vyšný Žipov,332950,442,42,2,8,90,38,27,73,220,2,112,71,0,15
Zámutov,332968,829,54,6,22,584,107,27,306,468,0,465,391,4,27
Zlatník,332984,25,5,1,0,8,2,1,6,12,0,6,9,0,1
Žalobín,332992,207,19,0,0,148,24,14,53,178,0,115,57,1,3
Vranov nad Topľou,332933,8115,1159,83,162,1168,745,553,1152,3872,12,2045,1347,16,819
Hanušovce nad Topľou,332399,1293,153,14,48,317,122,85,272,583,0,419,393,4,74
