Kód,Územná jednotka,Spolu,bez ukončeného vzdelania – osoby vo veku 0-14 rokov (abs.),bez ukončeného vzdelania – osoby vo veku 0-14 rokov (%),základné vzdelanie (abs.),základné vzdelanie (%),stredné odborné (učňovské) vzdelanie (bez maturity) (abs.),stredné odborné (učňovské) vzdelanie (bez maturity) (%),úplné stredné vzdelanie (s maturitou) (abs.),úplné stredné vzdelanie (s maturitou) (%),vyššie odborné vzdelanie (abs.),vyššie odborné vzdelanie (%),vysokoškolské vzdelanie (abs.),vysokoškolské vzdelanie (%),bez školského vzdelania – osoby vo veku 15 rokov a viac (abs.),bez školského vzdelania – osoby vo veku 15 rokov a viac (%),nezistené (abs.),nezistené (%)
SK041D528731,Holčíkovce,419,37,8.83,61,14.56,122,29.12,112,26.73,20,4.77,60,14.32,0,0,7,1.67
SK041D528749,Jasenovce,213,14,6.57,41,19.25,52,24.41,58,27.23,15,7.04,20,9.39,4,1.88,9,4.23
SK041D528757,Jastrabie nad Topľou,487,86,17.66,126,25.87,111,22.79,92,18.89,20,4.11,40,8.21,0,0,12,2.46
SK041D528765,Juskova Voľa,296,18,6.08,60,20.27,74,25,81,27.36,9,3.04,51,17.23,1,0.34,2,0.68
SK041D528773,Kamenná Poruba (Okres Vranov nad Topľou),1548,432,27.91,653,42.18,183,11.82,136,8.79,16,1.03,71,4.59,17,1.1,40,2.58
SK041D528781,Kladzany,536,57,10.63,55,10.26,103,19.22,188,35.07,26,4.85,97,18.1,1,0.19,9,1.68
SK041D528790,Komárany,505,71,14.06,71,14.06,93,18.42,147,29.11,17,3.37,102,20.2,2,0.4,2,0.4
SK041D528811,Kučín (Okres Vranov nad Topľou),556,94,16.91,236,42.45,99,17.81,83,14.93,4,0.72,27,4.86,0,0,13,2.34
SK041D528820,Kvakovce,412,28,6.8,64,15.53,119,28.88,102,24.76,17,4.13,59,14.32,1,0.24,22,5.34
SK041D528838,Majerovce,449,42,9.35,83,18.49,100,22.27,131,29.18,26,5.79,59,13.14,0,0,8,1.78
SK041D528846,Malá Domaša,639,135,21.13,169,26.45,105,16.43,138,21.6,23,3.6,64,10.02,2,0.31,3,0.47
SK041D528854,Matiaška,290,38,13.1,60,20.69,69,23.79,64,22.07,18,6.21,39,13.45,1,0.34,1,0.34
SK041D528862,Medzianky,299,31,10.37,44,14.72,69,23.08,97,32.44,13,4.35,40,13.38,0,0,5,1.67
SK041D528871,Merník,614,71,11.56,104,16.94,181,29.48,144,23.45,29,4.72,73,11.89,2,0.33,10,1.63
SK041D528889,Michalok,276,13,4.71,55,19.93,102,36.96,53,19.2,14,5.07,31,11.23,1,0.36,7,2.54
SK041D528901,Nižný Hrabovec,1625,184,11.32,380,23.38,335,20.62,372,22.89,65,4,179,11.02,4,0.25,106,6.52
SK041D528919,Nižný Hrušov,1508,129,8.55,240,15.92,345,22.88,465,30.84,61,4.05,208,13.79,6,0.4,54,3.58
SK041D528927,Nižný Kručov,387,35,9.04,63,16.28,84,21.71,124,32.04,16,4.13,58,14.99,3,0.78,4,1.03
SK041D528935,Nová Kelča,330,27,8.18,62,18.79,84,25.45,90,27.27,14,4.24,46,13.94,0,0,7,2.12
SK041D528943,Ondavské Matiašovce,805,115,14.29,281,34.91,159,19.75,155,19.25,9,1.12,65,8.07,3,0.37,18,2.24
SK041D528960,Pavlovce (Okres Vranov nad Topľou),797,109,13.68,139,17.44,213,26.73,190,23.84,21,2.63,100,12.55,2,0.25,23,2.89
SK041D528978,Petkovce,135,14,10.37,29,21.48,28,20.74,41,30.37,8,5.93,15,11.11,0,0,0,0
SK041D528986,Petrovce (Okres Vranov nad Topľou),450,47,10.44,78,17.33,133,29.56,120,26.67,18,4,51,11.33,2,0.44,1,0.22
SK041D528994,Piskorovce,117,10,8.55,27,23.08,37,31.62,22,18.8,2,1.71,18,15.38,0,0,1,0.85
SK041D529001,Poša,941,182,19.34,330,35.07,134,14.24,170,18.07,20,2.13,84,8.93,0,0,21,2.23
SK041D529028,Prosačov,211,42,19.91,98,46.45,37,17.54,15,7.11,5,2.37,8,3.79,1,0.47,5,2.37
SK041D529036,Radvanovce,218,22,10.09,32,14.68,54,24.77,66,30.28,14,6.42,24,11.01,0,0,6,2.75
SK041D529044,Rafajovce,165,15,9.09,53,32.12,39,23.64,38,23.03,8,4.85,10,6.06,1,0.61,1,0.61
SK041D529052,Remeniny,273,20,7.33,42,15.38,73,26.74,87,31.87,13,4.76,34,12.45,1,0.37,3,1.1
SK041D529079,Rudlov,687,121,17.61,144,20.96,158,23,142,20.67,23,3.35,68,9.9,22,3.2,9,1.31
SK041D529109,Ruská Voľa,86,19,22.09,40,46.51,13,15.12,7,8.14,4,4.65,3,3.49,0,0,0,0
SK041D529117,Vyšný Kazimír,188,17,9.04,26,13.83,49,26.06,66,35.11,10,5.32,17,9.04,0,0,3,1.6
SK041D529125,Sačurov,2478,589,23.77,741,29.9,384,15.5,451,18.2,67,2.7,154,6.21,5,0.2,87,3.51
SK041D529133,Sečovská Polianka,2701,308,11.4,584,21.62,672,24.88,659,24.4,101,3.74,324,12,4,0.15,49,1.81
SK041D529141,Sedliská,1477,248,16.79,345,23.36,309,20.92,336,22.75,56,3.79,167,11.31,2,0.14,14,0.95
SK041D529150,Skrabské,775,116,14.97,269,34.71,170,21.94,142,18.32,15,1.94,56,7.23,1,0.13,6,0.77
