Kód,Územná jednotka,Spolu,slovenská (abs.),slovenská (%),maďarská (abs.),maďarská (%),rómska (abs.),rómska (%),rusínska (abs.),rusínska (%),česká (abs.),česká (%),ukrajinská (abs.),ukrajinská (%),nemecká (abs.),nemecká (%),moravská (abs.),moravská (%),poľská (abs.),poľská (%),ruská (abs.),ruská (%),vietnamská (abs.),vietnamská (%),bulharská (abs.),bulharská (%),chorvátska (abs.),chorvátska (%),srbská (abs.),srbská (%),židovská (abs.),židovská (%),rumunská (abs.),rumunská (%),albánska (abs.),albánska (%),rakúska (abs.),rakúska (%),grécka (abs.),grécka (%),sliezska (abs.),sliezska (%),čínska (abs.),čínska (%),talianska (abs.),talianska (%),kórejská (abs.),kórejská (%),anglická (abs.),anglická (%),francúzska (abs.),francúzska (%),turecká (abs.),turecká (%),iránska (abs.),iránska (%),írska (abs.),írska (%),kanadská (abs.),kanadská (%),iná (abs.),iná (%),nezistená (abs.),nezistená (%)
SK041D528731,Holčíkovce,419,412,98.33,0,0,0,0,0,0,1,0.24,0,0,0,0,0,0,2,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.95
SK041D528749,Jasenovce,213,194,91.08,0,0,0,0,0,0,5,2.35,3,1.41,0,0,0,0,0,0,2,0.94,0,0,0,0,0,0,0,0,0,0,0,0,1,0.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0.47,0,0,0,0,0,0,0,0,0,0,0,0,7,3.29
SK041D528757,Jastrabie nad Topľou,487,351,72.07,0,0,117,24.02,1,0.21,3,0.62,2,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.67
SK041D528765,Juskova Voľa,296,290,97.97,0,0,0,0,1,0.34,1,0.34,1,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.01
SK041D528773,Kamenná Poruba (Okres Vranov nad Topľou),1548,1438,92.89,0,0,11,0.71,1,0.06,3,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,6.07
SK041D528781,Kladzany,536,518,96.64,1,0.19,0,0,1,0.19,2,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.61
SK041D528790,Komárany,505,499,98.81,0,0,4,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
SK041D528811,Kučín (Okres Vranov nad Topľou),556,512,92.09,2,0.36,21,3.78,2,0.36,0,0,2,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3.06
SK041D528820,Kvakovce,412,382,92.72,0,0,0,0,1,0.24,1,0.24,0,0,0,0,1,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6.31
SK041D528838,Majerovce,449,440,98,0,0,0,0,3,0.67,1,0.22,1,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.89
