Kód,Územná jednotka,Spolu,pracujúci (okrem dôchodcov) (abs.),pracujúci (okrem dôchodcov) (%),pracujúci dôchodca (abs.),pracujúci dôchodca (%),osoba na materskej dovolenke (abs.),osoba na materskej dovolenke (%),osoba na rodičovskej dovolenke (abs.),osoba na rodičovskej dovolenke (%),nezamestnaný (abs.),nezamestnaný (%),žiak strednej školy (abs.),žiak strednej školy (%),študent vysokej školy (abs.),študent vysokej školy (%),osoba v domácnosti (abs.),osoba v domácnosti (%),dôchodca (abs.),dôchodca (%),príjemca kapitálových príjmov (abs.),príjemca kapitálových príjmov (%),žiak základnej školy (abs.),žiak základnej školy (%),dieťa do začatia povinnej školskej dochádzky (abs.),dieťa do začatia povinnej školskej dochádzky (%),iná (abs.),iná (%),nezistené (abs.),nezistené (%)
SK041D528731,Holčíkovce,419,191,45.58,23,5.49,0,0,4,0.95,18,4.3,15,3.58,15,3.58,17,4.06,81,19.33,0,0,29,6.92,21,5.01,0,0,5,1.19
SK041D528749,Jasenovce,213,84,39.44,13,6.1,0,0,0,0,18,8.45,7,3.29,1,0.47,17,7.98,47,22.07,0,0,16,7.51,6,2.82,0,0,4,1.88
SK041D528757,Jastrabie nad Topľou,487,145,29.77,20,4.11,1,0.21,2,0.41,57,11.7,11,2.26,6,1.23,43,8.83,80,16.43,0,0,58,11.91,54,11.09,0,0,10,2.05
SK041D528765,Juskova Voľa,296,120,40.54,14,4.73,0,0,1,0.34,15,5.07,20,6.76,6,2.03,7,2.36,71,23.99,0,0,25,8.45,13,4.39,0,0,4,1.35
SK041D528773,Kamenná Poruba (Okres Vranov nad Topľou),1548,268,17.31,20,1.29,1,0.06,10,0.65,170,10.98,54,3.49,10,0.65,261,16.86,182,11.76,0,0,288,18.6,259,16.73,3,0.19,22,1.42
SK041D528781,Kladzany,536,189,35.26,29,5.41,2,0.37,4,0.75,39,7.28,9,1.68,9,1.68,21,3.92,152,28.36,0,0,43,8.02,31,5.78,2,0.37,6,1.12
SK041D528790,Komárany,505,186,36.83,20,3.96,3,0.59,5,0.99,20,3.96,12,2.38,10,1.98,33,6.53,115,22.77,0,0,52,10.3,44,8.71,4,0.79,1,0.2
SK041D528811,Kučín (Okres Vranov nad Topľou),556,119,21.4,15,2.7,0,0,2,0.36,73,13.13,16,2.88,3,0.54,99,17.81,78,14.03,0,0,89,16.01,56,10.07,0,0,6,1.08
SK041D528820,Kvakovce,412,177,42.96,11,2.67,0,0,3,0.73,19,4.61,13,3.16,9,2.18,14,3.4,111,26.94,1,0.24,23,5.58,18,4.37,1,0.24,12,2.91
SK041D528838,Majerovce,449,189,42.09,15,3.34,2,0.45,6,1.34,17,3.79,23,5.12,10,2.23,20,4.45,97,21.6,0,0,40,8.91,27,6.01,0,0,3,0.67
SK041D528846,Malá Domaša,639,205,32.08,22,3.44,0,0,5,0.78,56,8.76,12,1.88,7,1.1,67,10.49,89,13.93,0,0,96,15.02,76,11.89,1,0.16,3,0.47
SK041D528854,Matiaška,290,108,37.24,11,3.79,0,0,2,0.69,18,6.21,11,3.79,8,2.76,16,5.52,57,19.66,0,0,32,11.03,26,8.97,0,0,1,0.34
SK041D528862,Medzianky,299,127,42.47,17,5.69,3,1,1,0.33,15,5.02,6,2.01,5,1.67,8,2.68,70,23.41,0,0,21,7.02,21,7.02,0,0,5,1.67
SK041D528871,Merník,614,257,41.86,26,4.23,3,0.49,3,0.49,33,5.37,20,3.26,15,2.44,30,4.89,121,19.71,1,0.16,49,7.98,52,8.47,0,0,4,0.65
SK041D528889,Michalok,276,112,40.58,13,4.71,0,0,0,0,26,9.42,8,2.9,9,3.26,10,3.62,71,25.72,0,0,12,4.35,9,3.26,0,0,6,2.17
SK041D528901,Nižný Hrabovec,1625,487,29.97,79,4.86,3,0.18,8,0.49,125,7.69,49,3.02,39,2.4,135,8.31,337,20.74,1,0.06,175,10.77,104,6.4,3,0.18,80,4.92
SK041D528919,Nižný Hrušov,1508,579,38.4,64,4.24,6,0.4,6,0.4,86,5.7,56,3.71,41,2.72,59,3.91,374,24.8,2,0.13,130,8.62,66,4.38,1,0.07,38,2.52
SK041D528927,Nižný Kručov,387,166,42.89,10,2.58,0,0,3,0.78,19,4.91,22,5.68,12,3.1,14,3.62,82,21.19,0,0,32,8.27,22,5.68,0,0,5,1.29
SK041D528935,Nová Kelča,330,136,41.21,25,7.58,1,0.3,4,1.21,8,2.42,18,5.45,7,2.12,10,3.03,70,21.21,0,0,29,8.79,18,5.45,0,0,4,1.21
SK041D528943,Ondavské Matiašovce,805,221,27.45,30,3.73,2,0.25,3,0.37,113,14.04,22,2.73,9,1.12,86,10.68,142,17.64,0,0,100,12.42,64,7.95,0,0,13,1.61
SK041D528960,Pavlovce (Okres Vranov nad Topľou),797,336,42.16,24,3.01,1,0.13,6,0.75,56,7.03,26,3.26,22,2.76,42,5.27,110,13.8,0,0,90,11.29,68,8.53,0,0,16,2.01
SK041D528978,Petkovce,135,56,41.48,2,1.48,2,1.48,1,0.74,8,5.93,5,3.7,2,1.48,3,2.22,34,25.19,0,0,13,9.63,9,6.67,0,0,0,0
SK041D528986,Petrovce (Okres Vranov nad Topľou),450,190,42.22,18,4,3,0.67,3,0.67,28,6.22,14,3.11,9,2,22,4.89,97,21.56,0,0,34,7.56,32,7.11,0,0,0,0
SK041D528994,Piskorovce,117,45,38.46,2,1.71,1,0.85,1,0.85,7,5.98,6,5.13,5,4.27,3,2.56,33,28.21,0,0,6,5.13,6,5.13,1,0.85,1,0.85
SK041D529001,Poša,941,203,21.57,32,3.4,0,0,8,0.85,93,9.88,24,2.55,14,1.49,115,12.22,175,18.6,0,0,165,17.53,101,10.73,0,0,11,1.17
SK041D529028,Prosačov,211,41,19.43,1,0.47,0,0,2,0.95,28,13.27,15,7.11,1,0.47,25,11.85,31,14.69,0,0,50,23.7,13,6.16,0,0,4,1.9
SK041D529036,Radvanovce,218,100,45.87,8,3.67,2,0.92,1,0.46,8,3.67,13,5.96,3,1.38,8,3.67,37,16.97,0,0,19,8.72,14,6.42,0,0,5,2.29
SK041D529044,Rafajovce,165,57,34.55,4,2.42,0,0,1,0.61,9,5.45,7,4.24,3,1.82,17,10.3,34,20.61,0,0,24,14.55,8,4.85,0,0,1,0.61
SK041D529052,Remeniny,273,117,42.86,8,2.93,0,0,2,0.73,20,7.33,8,2.93,9,3.3,11,4.03,60,21.98,0,0,24,8.79,12,4.4,0,0,2,0.73
SK041D529079,Rudlov,687,215,31.3,20,2.91,2,0.29,4,0.58,58,8.44,18,2.62,11,1.6,68,9.9,125,18.2,0,0,85,12.37,76,11.06,0,0,5,0.73
