Kód,Územná jednotka,Spolu,zamestnanec (abs.),zamestnanec (%),podnikateľ (abs.),podnikateľ (%),iné (abs.),iné (%),nezistené (abs.),nezistené (%)
SK041D528731,Holčíkovce,218,151,69.27,44,20.18,1,0.46,22,10.09
SK041D528749,Jasenovce,97,66,68.04,15,15.46,0,0,16,16.49
SK041D528757,Jastrabie nad Topľou,168,111,66.07,30,17.86,0,0,27,16.07
SK041D528765,Juskova Voľa,135,106,78.52,22,16.3,0,0,7,5.19
SK041D528773,Kamenná Poruba (Okres Vranov nad Topľou),299,198,66.22,81,27.09,1,0.33,19,6.35
SK041D528781,Kladzany,224,164,73.21,36,16.07,0,0,24,10.71
SK041D528790,Komárany,214,146,68.22,42,19.63,2,0.93,24,11.21
SK041D528811,Kučín (Okres Vranov nad Topľou),136,97,71.32,22,16.18,0,0,17,12.5
SK041D528820,Kvakovce,191,120,62.83,39,20.42,1,0.52,31,16.23
SK041D528838,Majerovce,212,160,75.47,31,14.62,0,0,21,9.91
SK041D528846,Malá Domaša,232,165,71.12,41,17.67,1,0.43,25,10.78
SK041D528854,Matiaška,121,75,61.98,34,28.1,0,0,12,9.92
SK041D528862,Medzianky,148,121,81.76,14,9.46,1,0.68,12,8.11
SK041D528871,Merník,289,208,71.97,60,20.76,0,0,21,7.27
SK041D528889,Michalok,125,77,61.6,33,26.4,1,0.8,14,11.2
SK041D528901,Nižný Hrabovec,577,407,70.54,103,17.85,3,0.52,64,11.09
SK041D528919,Nižný Hrušov,655,501,76.49,72,10.99,6,0.92,76,11.6
SK041D528927,Nižný Kručov,179,115,64.25,45,25.14,2,1.12,17,9.5
SK041D528935,Nová Kelča,166,106,63.86,24,14.46,0,0,36,21.69
SK041D528943,Ondavské Matiašovce,256,197,76.95,30,11.72,0,0,29,11.33
SK041D528960,Pavlovce (Okres Vranov nad Topľou),367,273,74.39,59,16.08,2,0.54,33,8.99
SK041D528978,Petkovce,61,46,75.41,12,19.67,0,0,3,4.92
SK041D528986,Petrovce (Okres Vranov nad Topľou),214,155,72.43,33,15.42,0,0,26,12.15
SK041D528994,Piskorovce,49,31,63.27,9,18.37,0,0,9,18.37
SK041D529001,Poša,243,177,72.84,23,9.47,0,0,43,17.7
SK041D529028,Prosačov,44,29,65.91,3,6.82,0,0,12,27.27
SK041D529036,Radvanovce,111,80,72.07,22,19.82,0,0,9,8.11
SK041D529044,Rafajovce,62,39,62.9,8,12.9,0,0,15,24.19
SK041D529052,Remeniny,127,83,65.35,31,24.41,1,0.79,12,9.45
SK041D529079,Rudlov,241,183,75.93,30,12.45,1,0.41,27,11.2
SK041D529109,Ruská Voľa,19,11,57.89,4,21.05,0,0,4,21.05
SK041D529117,Vyšný Kazimír,91,71,78.02,14,15.38,0,0,6,6.59
SK041D529125,Sačurov,716,475,66.34,191,26.68,2,0.28,48,6.7
SK041D529133,Sečovská Polianka,1123,728,64.83,260,23.15,5,0.45,130,11.58
SK041D529141,Sedliská,528,337,63.83,100,18.94,3,0.57,88,16.67
SK041D529150,Skrabské,247,179,72.47,34,13.77,2,0.81,32,12.96
SK041D529168,Slovenská Kajňa,322,215,66.77,54,16.77,0,0,53,16.46
SK041D529176,Soľ,826,578,69.98,139,16.83,1,0.12,108,13.08
